ID,Name,Flags,Season
6444,[PRIV-LYCEE] Friday 4:00pm Multi-Sport (5th),,24-FA Private Groups
6455,[PRIV-PAS] Sports Plus Thur 9:30am,,24-FA Private Groups
6766,[PRIV-PAS] Sports Plus Tues 9:30am,,24-FA Private Groups
6461,[PRIV-PASECC] Friday Multi sport 1:00pm(2-3years),,24-FA Private Groups
6660,[PRIV-PS158] Cheer Wed 3:30pm (3rd grade),Full,24-FA Private Groups
6462,[PRIV-RAMAZ] Basketball Thurs 4:15pm [2nd Grade],,24-FA Private Groups
6464,[PRIV-RAMAZ] Flag Football Friday 1:20pm,,24-FA Private Groups
6465,[PRIV-RAMAZ] Friday Basketball 1:50pm (Ages 8-9),,24-FA Private Groups
6466,[PRIV-RD HOOP] BBALL Wed 5:15pm (4th grade),,24-FA Private Groups
6467,[PRIV-SAFRA] Girls Bball Tue 4:30pm (5th grade),,24-FA Private Groups
6651,[PRIV-SAM SCHOOL] Sports Tuesday 3:10pm (Ages 5),,24-FA Private Groups
6657,[PRIV-St Ig. CHEER] Thurs 3:30pm-4:25pm (2nd/3rd),,24-FA Private Groups
6446,[PRIV-ST IGN] Friday 3:00pm Football (2nd Grade),,24-FA Private Groups
6468,[PRIV-STMPG] Multi-Sport Thurs 2:00pm (3 years),,24-FA Private Groups
6665,[PRIV-STMPG] Sports Wed 9:30am (2-3 years),,24-FA Private Groups
6448,[RED-PRIV] SOCCER - Monday 3:00pm [Age 3-5],,24-FA Private Groups
6449,[ST ANNES-PRIV] Thurs 3:25pm Flag-Football (5th),,24-FA Private Groups
6710,[ST Da-PRIV] Bball Thurs 3:10pm [Prek alpha omega],,24-FA Private Groups
6450,[WIND-PRIV] Friday 2:00pm Flagfootball (5th grade),,24-FA Private Groups
6457,[WIND-PRIV] Wed 3:00pm Multi-Sport (5th grade),,24-FA Private Groups
6456,OPEN,,24-FA Private Groups
6470,OPEN,,24-FA Private Groups
6463,OPEN SLOT,,24-FA Private Groups
6698,[3 Cheers 4 You] Tues 3:25-4:30pm (Ages 3-5),Future,24-FA Cheer & Dance (Ages 1+)
6788,[BabyBallers] Friday 9:30am-10:10am (Age 1 - 2),Future,24-FA KIDS Multi-Sport Classes (Ages 1-6)
6791,[BabyBallers] Wednesday 9:30am-10:10am (Age 1 - 2),Future,24-FA KIDS Multi-Sport Classes (Ages 1-6)
6670,[BBall 101] Saturday 9:00am-9:50am (Ages 4-6),Future,24-FA Basketball Classes (PreK - 5th)
6671,[BBall 101] Sunday 10:00am - 10:50am (Ages 4-6),Future,24-FA Basketball Classes (PreK - 5th)
6672,[BBall 101] Thursday 3:00pm - 3:45pm (Ages 4-6),Full Future,24-FA Basketball Classes (PreK - 5th)
6673,[BBall 101] Tuesday 3:50pm - 4:50pm (Ages 4 - 6),Future,24-FA Basketball Classes (PreK - 5th)
6679,[BBall 101] Wednesday 3:00pm - 3:45pm (Ages 4-6),Future,24-FA Basketball Classes (PreK - 5th)
6715,[CHEER & POM FUSION] Thurs 3:25-4:30pm (Ages 5-6),Future,24-FA Cheer & Dance (Ages 1+)
6772,[CHEER CHAMPS] Fri 5:40pm-6:35pm (5th/6th),Future,24-FA Cheer & Dance (Ages 1+)
6723,[CHEER CHAMPS] Tues 5:40-6:35pm (5th/6th),Future,24-FA Cheer & Dance (Ages 1+)
6725,[CHEER CHAMPS] Wed 5:40pm-6:35pm (5th/6th),Future,24-FA Cheer & Dance (Ages 1+)
6659,[CHEER] Cheer Sat 10:00am (Ages 4-5),Future,24-FA Cheer & Dance (Ages 1+)
6771,[CHEER] Friday 10:15am-11:00am (Age 2),Future,24-FA Cheer & Dance (Ages 1+)
6653,[CHEER] Friday 4:05pm - 5:00pm (K-1),Future,24-FA Cheer & Dance (Ages 1+)
6655,[CHEER] Friday 4:35pm - 5:30pm (3rd/4th),Future,24-FA Cheer & Dance (Ages 1+)
6768,[CHEER] Friday 9:30am-10:10am (Age 1),Future,24-FA Cheer & Dance (Ages 1+)
6769,[CHEER] Monday 10:15am-11:00am (Age 2),Future,24-FA Cheer & Dance (Ages 1+)
6767,[CHEER] Monday 9:30am-10:10am (Age 1),Future,24-FA Cheer & Dance (Ages 1+)
6793,[CHEER] Sunday 10:00am - 10:50am (K-1),Future,24-FA Cheer & Dance (Ages 1+)
6774,[CHEER] Thurs 10:15am-11:00am (Age 3 & 4's),Future,24-FA Cheer & Dance (Ages 1+)
6773,[CHEER] Tues 10:15am-11:00am (Age 3 & 4's),Future,24-FA Cheer & Dance (Ages 1+)
6770,[CHEER] Wednesday 10:15am-11:00am (Age 2),Future,24-FA Cheer & Dance (Ages 1+)
6777,[FB] Multi-Sport Fridays 10:15am-11:00am (Age 2),Future,24-FA KIDS Multi-Sport Classes (Ages 1-6)
