"DirectedEdge[{5585901286821, 3, 1}, {5586159567147, 3, 1}]"
"DirectedEdge[{5585902883331, 3, 1}, {5554521823722, 3, 1}]"
"DirectedEdge[{5585902883331, 3, 1}, {5585901289008, 3, 1}]"
"DirectedEdge[{5585902883331, 3, 1}, {5585902881144, 3, 1}]"
"DirectedEdge[{5585902883331, 3, 1}, {5585902885518, 3, 1}]"
"DirectedEdge[{5585902883331, 3, 1}, {5585902942380, 3, 1}]"
"DirectedEdge[{5585902883331, 3, 1}, {5585903001429, 3, 1}]"
"DirectedEdge[{5585902883331, 3, 1}, {5585904477654, 3, 1}]"
"DirectedEdge[{5585902883331, 3, 1}, {5586032023494, 3, 1}]"
"DirectedEdge[{5585902883331, 3, 1}, {5586161163657, 3, 1}]"
"DirectedEdge[{5585902885518, 3, 1}, {5554521825909, 3, 1}]"
"DirectedEdge[{5585902885518, 3, 1}, {5585888536611, 3, 1}]"
"DirectedEdge[{5585902885518, 3, 1}, {5585901291195, 3, 1}]"
"DirectedEdge[{5585902885518, 3, 1}, {5585902881144, 3, 1}]"
"DirectedEdge[{5585902885518, 3, 1}, {5585902883331, 3, 1}]"
"DirectedEdge[{5585902885518, 3, 1}, {5585902944567, 3, 1}]"
"DirectedEdge[{5585902885518, 3, 1}, {5585903003616, 3, 1}]"
"DirectedEdge[{5585902885518, 3, 1}, {5585904479841, 3, 1}]"
"DirectedEdge[{5585902885518, 3, 1}, {5586032025681, 3, 1}]"
"DirectedEdge[{5585902885518, 3, 1}, {5586161165844, 3, 1}]"
"DirectedEdge[{5585902940193, 3, 1}, {5554521880584, 3, 1}]"
"DirectedEdge[{5585902940193, 3, 1}, {5585901345870, 3, 1}]"
"DirectedEdge[{5585902940193, 3, 1}, {5585902881144, 3, 1}]"
"DirectedEdge[{5585902940193, 3, 1}, {5585902942380, 3, 1}]"
"DirectedEdge[{5585902940193, 3, 1}, {5585902944567, 3, 1}]"
"DirectedEdge[{5585902940193, 3, 1}, {5585902999242, 3, 1}]"
"DirectedEdge[{5585902940193, 3, 1}, {5585904534516, 3, 1}]"
